$GPGGA,112515.000,4307.9914,N,00601.0076,E,1,07,1.3,16.2,M,49.0,M,,0000*61
$GPGGA,112516.000,4307.9902,N,00601.0084,E,1,07,1.3,17.6,M,49.0,M,,0000*6D
$GPGGA,112517.000,4307.9896,N,00601.0092,E,1,07,1.3,19.4,M,49.0,M,,0000*6B
$GPGGA,112518.000,4307.9891,N,00601.0096,E,1,07,1.3,20.5,M,49.0,M,,0000*6C
$GPGGA,112519.000,4307.9890,N,00601.0103,E,1,07,1.3,21.7,M,49.0,M,,0000*62
$GPGGA,112520.000,4307.9889,N,00601.0108,E,1,07,1.3,22.8,M,49.0,M,,0000*67
$GPGGA,112521.000,4307.9889,N,00601.0112,E,1,07,1.3,23.8,M,49.0,M,,0000*6C
$GPGGA,112522.000,4307.9890,N,00601.0113,E,1,07,1.3,24.3,M,49.0,M,,0000*6A
$GPGGA,112523.000,4307.9891,N,00601.0113,E,1,07,1.3,24.6,M,49.0,M,,0000*6F
$GPGGA,112524.000,4307.9891,N,00601.0114,E,1,07,1.3,25.1,M,49.0,M,,0000*69
$GPGGA,112525.000,4307.9891,N,00601.0115,E,1,07,1.3,25.5,M,49.0,M,,0000*6D
$GPGGA,112526.000,4307.9892,N,00601.0116,E,1,07,1.3,25.9,M,49.0,M,,0000*62
$GPGGA,112527.000,4307.9892,N,00601.0118,E,1,07,1.3,26.3,M,49.0,M,,0000*64
$GPGGA,112528.000,4307.9892,N,00601.0119,E,1,07,1.3,26.6,M,49.0,M,,0000*6F
$GPGGA,112529.000,4307.9893,N,00601.0120,E,1,07,1.3,26.8,M,49.0,M,,0000*6B
$GPGGA,112530.000,4307.9893,N,00601.0121,E,1,07,1.3,27.1,M,49.0,M,,0000*6A
$GPGGA,112531.000,4307.9893,N,00601.0122,E,1,07,1.3,27.2,M,49.0,M,,0000*6B
$GPGGA,112532.000,4307.9893,N,00601.0123,E,1,07,1.3,27.4,M,49.0,M,,0000*6F
$GPGGA,112533.000,4307.9893,N,00601.0123,E,1,07,1.3,27.5,M,49.0,M,,0000*6F
$GPGGA,112534.000,4307.9891,N,00601.0125,E,1,07,1.3,27.5,M,49.0,M,,0000*6C
$GPGGA,112535.000,4307.9886,N,00601.0130,E,1,07,1.3,27.3,M,49.0,M,,0000*69
$GPGGA,112536.000,4307.9875,N,00601.0138,E,1,07,1.3,27.1,M,49.0,M,,0000*6C
$GPGGA,112537.000,4307.9860,N,00601.0144,E,1,07,1.3,26.9,M,49.0,M,,0000*6B
$GPGGA,112538.000,4307.9840,N,00601.0144,E,1,07,1.3,26.6,M,49.0,M,,0000*69
$GPGGA,112539.000,4307.9817,N,00601.0135,E,1,07,1.3,26.6,M,49.0,M,,0000*6C
